timestamp,temp_c
2026-07-02 11:07:45,24.0
2026-07-02 11:09:45,24.0
2026-07-02 11:11:45,24.5
2026-07-02 11:13:24,23.0
2026-07-02 11:15:24,22.5
2026-07-02 11:17:24,21.5
2026-07-02 11:19:24,21.0
2026-07-02 11:21:24,20.5
2026-07-02 11:23:24,20.0
2026-07-02 11:25:24,20.0
2026-07-02 11:27:24,19.5
2026-07-02 11:29:24,19.5
2026-07-02 11:31:24,19.5
2026-07-02 11:33:24,19.0
2026-07-02 11:35:25,19.0
2026-07-02 11:37:25,19.0
2026-07-02 11:39:25,19.0
2026-07-02 11:41:25,19.0
2026-07-02 11:43:25,19.0
2026-07-02 11:45:25,18.5
2026-07-02 11:53:14,18.5
2026-07-02 11:55:14,20.0
2026-07-02 11:57:14,20.5
2026-07-02 11:59:14,21.0
2026-07-02 12:01:14,21.5
2026-07-02 12:03:14,22.0
2026-07-02 12:05:14,22.5
2026-07-02 12:07:14,22.5
2026-07-02 12:09:14,23.0
2026-07-02 12:11:14,23.5
2026-07-02 12:13:14,23.5
2026-07-02 12:15:15,23.5
2026-07-02 12:17:15,24.0
2026-07-02 12:19:15,24.0
2026-07-02 12:21:15,24.5
2026-07-02 12:23:15,24.5
2026-07-02 12:25:15,24.5
2026-07-02 12:27:15,24.5
2026-07-02 12:29:15,25.0
2026-07-02 12:31:15,25.0
2026-07-02 12:33:15,25.0
2026-07-02 12:35:15,25.5
2026-07-02 12:37:15,25.0
2026-07-02 12:39:15,25.5
2026-07-02 12:41:15,25.0
2026-07-02 12:43:26,25.0
2026-07-02 12:43:41,25.5
2026-07-02 12:44:10,26.0
2026-07-02 12:46:01,26.5
2026-07-02 12:48:01,27.0
2026-07-02 12:50:01,27.0
2026-07-02 12:52:01,27.0
2026-07-02 12:53:49,26.5
2026-07-02 12:53:59,26.5
2026-07-02 12:54:53,26.5
